match_id,team_id,venue_id,team_name,date,start_time,team_score,opponent_id,opponent_score,all_out,declare,extras,raid_bonus_points,raid_touch_points,tackle_capture_points,tackle_capture_bonus_points,empty_raids_count,successful_raids_count,unsuccessful_raids_count,successful_tackles_count,unsuccessful_tackles_count,result,series_name,stage,is_home
1,3,5,Jaipur Pink Panthers,7/26/2014,20:00,28,5,44,2,0,0,3,22,1,0,10,20,10,1,23,U Mumba beat Jaipur Pink Panthers (45 - 31),"Pro Kabaddi League Season 1, 2014",NA,0
1,5,5,U Mumba,7/26/2014,20:00,44,3,28,4,0,0,5,23,12,0,15,21,4,10,22,U Mumba beat Jaipur Pink Panthers (45 - 31),"Pro Kabaddi League Season 1, 2014",NA,1
2,1,5,Bengaluru Bulls,7/26/2014,21:00,42,2,28,6,0,0,1,22,13,0,10,18,11,13,8,Bengaluru Bulls beat Dabang Delhi (47 - 28),"Pro Kabaddi League Season 1, 2014",NA,0
2,2,5,Dabang Delhi K.C.,7/26/2014,21:00,28,1,42,0,0,0,7,8,13,0,10,14,17,11,22,Bengaluru Bulls beat Dabang Delhi (47 - 28),"Pro Kabaddi League Season 1, 2014",NA,0
3,1,5,Bengaluru Bulls,7/27/2014,20:00,39,7,34,4,0,1,5,15,14,0,15,14,12,13,13,Bengaluru Bulls beat Puneri Paltan (40 - 37),"Pro Kabaddi League Season 1, 2014",NA,0
3,7,5,Puneri Paltan,7/27/2014,20:00,34,1,39,2,0,1,7,13,11,0,14,13,13,10,15,Bengaluru Bulls beat Puneri Paltan (40 - 37),"Pro Kabaddi League Season 1, 2014",NA,0
4,4,5,Bengal Warriors,7/27/2014,21:00,24,5,35,0,0,0,2,15,7,0,14,15,10,7,18,U Mumba beat Bengal Warriors (36 - 25),"Pro Kabaddi League Season 1, 2014",NA,0
4,5,5,U Mumba,7/27/2014,21:00,35,4,24,2,0,0,6,18,9,0,12,19,8,9,15,U Mumba beat Bengal Warriors (36 - 25),"Pro Kabaddi League Season 1, 2014",NA,1
5,2,5,Dabang Delhi K.C.,7/28/2014,20:00,35,7,31,2,0,0,5,18,10,0,14,21,5,10,17,Dabang Delhi beat Puneri Paltan (35 - 31),"Pro Kabaddi League Season 1, 2014",NA,0
5,7,5,Puneri Paltan,7/28/2014,20:00,31,2,35,2,0,0,5,17,7,0,13,16,10,5,18,Dabang Delhi beat Puneri Paltan (35 - 31),"Pro Kabaddi League Season 1, 2014",NA,0
6,5,5,U Mumba,7/28/2014,21:00,34,8,35,2,0,0,13,10,9,0,15,22,7,9,22,Match Drawn (35 - 35),"Pro Kabaddi League Season 1, 2014",NA,1
6,8,5,Telugu Titans,7/28/2014,21:00,35,5,34,4,0,0,2,22,7,0,13,20,10,7,10,Match Drawn (35 - 35),"Pro Kabaddi League Season 1, 2014",NA,0
7,5,5,U Mumba,7/29/2014,20:00,35,6,32,4,0,0,5,17,9,0,17,17,6,9,14,U Mumba beat Patna Pirates (36 - 33),"Pro Kabaddi League Season 1, 2014",NA,1
7,6,5,Patna Pirates,7/29/2014,20:00,32,5,35,2,0,0,9,14,7,0,11,21,9,6,17,U Mumba beat Patna Pirates (36 - 33),"Pro Kabaddi League Season 1, 2014",NA,0
8,1,4,Bengaluru Bulls,7/30/2014,20:00,46,4,30,6,0,0,1,24,15,0,16,20,7,15,11,Bengaluru Bulls beat Bengal Warriors (46 - 30),"Pro Kabaddi League Season 1, 2014",NA,0
8,4,4,Bengal Warriors,7/30/2014,20:00,30,1,46,0,0,0,8,11,11,0,12,16,15,7,24,Bengaluru Bulls beat Bengal Warriors (46 - 30),"Pro Kabaddi League Season 1, 2014",NA,1
9,3,4,Jaipur Pink Panthers,7/31/2014,20:00,46,8,31,4,0,1,7,22,12,0,18,23,3,12,20,Jaipur Pink Panthers beat Telugu Titans (46 - 32),"Pro Kabaddi League Season 1, 2014",NA,0
9,8,4,Telugu Titans,7/31/2014,20:00,31,3,46,2,0,1,4,20,4,0,11,21,12,3,22,Jaipur Pink Panthers beat Telugu Titans (46 - 32),"Pro Kabaddi League Season 1, 2014",NA,0
10,2,4,Dabang Delhi K.C.,7/31/2014,21:00,39,4,40,4,0,0,5,21,9,0,8,24,12,8,19,Bengal Warriors beat Dabang Delhi (42 - 40),"Pro Kabaddi League Season 1, 2014",NA,0
10,4,4,Bengal Warriors,7/31/2014,21:00,40,2,39,4,0,0,6,19,11,0,20,16,9,11,21,Bengal Warriors beat Dabang Delhi (42 - 40),"Pro Kabaddi League Season 1, 2014",NA,1
11,6,4,Patna Pirates,8/1/2014,20:00,34,8,35,2,0,1,4,23,4,0,13,22,5,4,19,Patna Pirates beat Telugu Titans (38 - 35),"Pro Kabaddi League Season 1, 2014",NA,0
11,8,4,Telugu Titans,8/1/2014,20:00,35,6,34,2,0,0,8,19,6,0,11,22,8,5,23,Patna Pirates beat Telugu Titans (38 - 35),"Pro Kabaddi League Season 1, 2014",NA,0
12,4,4,Bengal Warriors,8/1/2014,21:00,37,7,34,2,0,0,4,22,9,0,15,17,8,8,21,Bengal Warriors beat Puneri Paltan (38 - 35),"Pro Kabaddi League Season 1, 2014",NA,1
12,7,4,Puneri Paltan,8/1/2014,21:00,34,4,37,4,0,0,1,21,8,0,14,15,9,8,22,Bengal Warriors beat Puneri Paltan (38 - 35),"Pro Kabaddi League Season 1, 2014",NA,0
13,3,4,Jaipur Pink Panthers,8/2/2014,20:00,35,6,18,4,0,0,7,17,7,0,15,21,3,7,9,Jaipur Pink Panthers beat Patna Pirates (40 - 18),"Pro Kabaddi League Season 1, 2014",NA,0
