date,empty_raids_count,match_id,on_court,opponent_id,opponent_score,played,player_id,player_name,raid_bonus_points,raid_touch_points,result,series_name,stage,start_time,successful_raids_count,successful_tackles_count,super_raids_count,super_tackles_count,tackle_capture_bonus_points,tackle_capture_points,team_id,team_name,unsuccessful_raids_count,unsuccessful_tackles_count,venue_id
7/26/2014,0,1,True,5,44,True,15,Sanjay Shrestha,0,0,U Mumba beat Jaipur Pink Panthers (45 - 31),"Pro Kabaddi League Season 1, 2014",NA,20:00,0,0,NA,NA,0,0,3,Jaipur Pink Panthers,0,0,5
7/26/2014,1,1,True,5,44,True,96,Rohit Rana,0,0,U Mumba beat Jaipur Pink Panthers (45 - 31),"Pro Kabaddi League Season 1, 2014",NA,20:00,0,0,NA,NA,0,0,3,Jaipur Pink Panthers,0,0,5
7/26/2014,1,1,True,5,44,True,72,Navneet Gautam,0,0,U Mumba beat Jaipur Pink Panthers (45 - 31),"Pro Kabaddi League Season 1, 2014",NA,20:00,0,0,NA,NA,0,0,3,Jaipur Pink Panthers,0,0,5
7/26/2014,2,1,False,5,44,True,52,Jasvir Singh,1,7,U Mumba beat Jaipur Pink Panthers (45 - 31),"Pro Kabaddi League Season 1, 2014",NA,20:00,7,3,NA,NA,1,4,3,Jaipur Pink Panthers,3,7,5
7/26/2014,0,1,True,5,44,True,22,Wei Yang,0,0,U Mumba beat Jaipur Pink Panthers (45 - 31),"Pro Kabaddi League Season 1, 2014",NA,20:00,0,0,NA,NA,0,0,3,Jaipur Pink Panthers,0,0,5
7/26/2014,0,1,True,5,44,True,144,Gokul Shitole,0,0,U Mumba beat Jaipur Pink Panthers (45 - 31),"Pro Kabaddi League Season 1, 2014",NA,20:00,0,0,NA,NA,0,0,3,Jaipur Pink Panthers,0,0,5
7/26/2014,0,1,True,5,44,True,147,Prashant Chavan,0,0,U Mumba beat Jaipur Pink Panthers (45 - 31),"Pro Kabaddi League Season 1, 2014",NA,20:00,0,0,NA,NA,0,0,3,Jaipur Pink Panthers,0,0,5
7/26/2014,0,1,True,5,44,True,32,Balbir Singh,0,0,U Mumba beat Jaipur Pink Panthers (45 - 31),"Pro Kabaddi League Season 1, 2014",NA,20:00,0,0,NA,NA,0,0,3,Jaipur Pink Panthers,0,0,5
7/26/2014,0,1,True,5,44,True,44,Gangadhari Mallesh,1,2,U Mumba beat Jaipur Pink Panthers (45 - 31),"Pro Kabaddi League Season 1, 2014",NA,20:00,3,0,NA,NA,0,0,3,Jaipur Pink Panthers,0,2,5
7/26/2014,0,1,True,5,44,True,87,Raju Lal Choudhary,0,0,U Mumba beat Jaipur Pink Panthers (45 - 31),"Pro Kabaddi League Season 1, 2014",NA,20:00,0,0,NA,NA,0,0,3,Jaipur Pink Panthers,0,0,5
7/26/2014,5,1,False,5,44,True,86,Rajesh Narwal,0,3,U Mumba beat Jaipur Pink Panthers (45 - 31),"Pro Kabaddi League Season 1, 2014",NA,20:00,2,2,NA,NA,0,2,3,Jaipur Pink Panthers,2,3,5
7/26/2014,1,1,False,5,44,True,143,Maninder Singh,1,10,U Mumba beat Jaipur Pink Panthers (45 - 31),"Pro Kabaddi League Season 1, 2014",NA,20:00,8,5,NA,NA,1,6,3,Jaipur Pink Panthers,5,10,5
7/26/2014,0,1,True,3,28,True,54,Jeeva Kumar,0,0,U Mumba beat Jaipur Pink Panthers (45 - 31),"Pro Kabaddi League Season 1, 2014",NA,20:00,0,0,NA,NA,0,0,5,U Mumba,0,0,5
7/26/2014,0,1,True,3,28,False,53,Jeeva Gopal,0,0,U Mumba beat Jaipur Pink Panthers (45 - 31),"Pro Kabaddi League Season 1, 2014",NA,20:00,0,0,NA,NA,0,0,5,U Mumba,0,0,5
7/26/2014,1,1,True,3,28,True,146,Surender Nada,0,2,U Mumba beat Jaipur Pink Panthers (45 - 31),"Pro Kabaddi League Season 1, 2014",NA,20:00,1,0,NA,NA,0,0,5,U Mumba,0,2,5
7/26/2014,0,1,True,3,28,True,8,Masayuki Shimokawa,0,0,U Mumba beat Jaipur Pink Panthers (45 - 31),"Pro Kabaddi League Season 1, 2014",NA,20:00,0,0,NA,NA,0,0,5,U Mumba,0,0,5
7/26/2014,6,1,False,3,28,True,105,Shabeer Bappu,2,6,U Mumba beat Jaipur Pink Panthers (45 - 31),"Pro Kabaddi League Season 1, 2014",NA,20:00,6,0,NA,NA,0,0,5,U Mumba,1,6,5
7/26/2014,0,1,True,3,28,True,1,Mohammad Ziaur Rahman,0,0,U Mumba beat Jaipur Pink Panthers (45 - 31),"Pro Kabaddi League Season 1, 2014",NA,20:00,0,0,NA,NA,0,0,5,U Mumba,0,0,5
7/26/2014,0,1,True,3,28,True,117,Suresh Pathapalem,0,0,U Mumba beat Jaipur Pink Panthers (45 - 31),"Pro Kabaddi League Season 1, 2014",NA,20:00,0,0,NA,NA,0,0,5,U Mumba,0,0,5
7/26/2014,0,1,True,3,28,True,123,Vishal Mane,0,0,U Mumba beat Jaipur Pink Panthers (45 - 31),"Pro Kabaddi League Season 1, 2014",NA,20:00,0,0,NA,NA,0,0,5,U Mumba,0,0,5
