team_id,team_name,venue_id,venue_name
3,Jaipur Pink Panthers,3,"Sawai Mansingh Stadium, Jaipur"
5,U Mumba,5,"Dome, NSCI, SVP Stadium, Mumbai"
1,Bengaluru Bulls,1,"Sree Kanteerava Stadium, Bengaluru"
2,Dabang Delhi K.C.,2,"Thyagaraj Sports Complex, Delhi"
7,Puneri Paltan,7,"Shree Shiv Chhatrapati Sports Complex, Pune"
4,Bengal Warriors,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata"
8,Telugu Titans,9,"Gachibowli Indoor Stadium, Hyderabad"
6,Patna Pirates,6,"Patliputra Sports Complex, Patna"
28,Haryana Steelers,25,"Tau Devilal Sports Complex, Panchkula"
31,Gujarat Fortunegiants,11,"EKA Arena by TransStadia, Ahmedabad"
30,U.P. Yoddha,23,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida"
29,Tamil Thalaivas,16,"Jawaharlal Nehru Indoor Stadium, Chennai"
